person,personLabel.x,memberID,member_name,check
http://www.wikidata.org/entity/Q15998527,James Kilroy,597,Mr. James Kilroy,1
http://www.wikidata.org/entity/Q16002987,John Friel,437,Mr. John Friel,1
http://www.wikidata.org/entity/Q16003864,Michael Kennedy,579,Mr. Michael Joseph Kennedy,1
http://www.wikidata.org/entity/Q16003907,Joseph Roddy,1005,Mr. Joseph Roddy,1
http://www.wikidata.org/entity/Q16005860,John S. O'Connor,849,Mr. John S. O'Connor,1
http://www.wikidata.org/entity/Q16006622,James O'Toole,964,Mr. James (Séamus) O'Toole,1
http://www.wikidata.org/entity/Q16007084,Gerrard McGowan,733,Mr. Gerrard L. McGowan,1
http://www.wikidata.org/entity/Q16007752,Ernest Benson,52,Mr. Ernest Edmondson Benson,1
http://www.wikidata.org/entity/Q16008062,Noel Lemass,625,Mr. Noel T. Lemass,1
http://www.wikidata.org/entity/Q16008169,Martin Corry,232,Mr. Martin John Corry,1
http://www.wikidata.org/entity/Q16010078,Michael Mullen,790,Mr. Michael Mullen,1
http://www.wikidata.org/entity/Q16010360,James Gallagher,443,Mr. James Gallagher,1
http://www.wikidata.org/entity/Q16010992,Jack Murphy,799,Mr. John Murphy,0
http://www.wikidata.org/entity/Q16011895,Eugene Gilhawley,462,Mr. Eugene Gilhawley,1
http://www.wikidata.org/entity/Q16012627,Henry Johnston,548,Mr. Henry Martin Johnston,1
http://www.wikidata.org/entity/Q16013379,Philip Burton,134,Mr. Philip Burton,1
http://www.wikidata.org/entity/Q16013416,Des Foley,427,Mr. Des Foley,1
http://www.wikidata.org/entity/Q16014127,Jack McQuillan,751,Mr. John (Jack) McQuillan,1
http://www.wikidata.org/entity/Q16014984,Joe Sheridan,1036,Mr. Joseph Sheridan,1
http://www.wikidata.org/entity/Q16015900,Bernard Markey,1524,Mr. Bernard Markey,1
http://www.wikidata.org/entity/Q16016100,John Conlan,210,Mr. John Francis Conlan,1
http://www.wikidata.org/entity/Q16019462,Peadar Maher,685,Mr. Peader Maher,1
http://www.wikidata.org/entity/Q16019666,Peadar Clohessy,182,Mr. Peadar Clohessy,1
http://www.wikidata.org/entity/Q16022956,Nicholas Wall,1092,Mr. Nicholas Wall,1
http://www.wikidata.org/entity/Q16067622,Harry Colley,196,Mr. Harry Colley,1
http://www.wikidata.org/entity/Q16067687,Jeremiah Ryan,1015,Colonel Jeremiah Ryan,1
http://www.wikidata.org/entity/Q1606945,Henry Kenny,581,Mr. Henry Kenny,1
http://www.wikidata.org/entity/Q1607054,Henry Morgan Dockrell,320,Mr. Henry Morgan Dockrell,1
http://www.wikidata.org/entity/Q16095503,Jim Corr,231,Mr. James Corr,1
http://www.wikidata.org/entity/Q16095540,Michael D'Arcy,282,Mr. Michael D'Arcy,1
http://www.wikidata.org/entity/Q16104401,John Browne,108,Mr. John Browne,0
http://www.wikidata.org/entity/Q16104401,John Browne,107,Mr. John Browne,0
http://www.wikidata.org/entity/Q16104628,Donal Carey,158,Mr. Donal Carey,1
http://www.wikidata.org/entity/Q16104841,Michael Joe Cosgrave,236,Mr. Michael Joe Cosgrave,1
http://www.wikidata.org/entity/Q16105007,James White,1106,Mr. James White,1
http://www.wikidata.org/entity/Q16105085,Tom Gildea,460,Mr. Tom Gildea,1
http://www.wikidata.org/entity/Q16106036,Ned O'Keeffe,902,Mr. Edward O'Keeffe,1
http://www.wikidata.org/entity/Q16106704,Pat Lee,621,Dr. Pat Lee,1
http://www.wikidata.org/entity/Q16107314,Patrick Gallagher,444,Mr. Paddy Gallagher,1
http://www.wikidata.org/entity/Q16114919,Henry Abbott,1,Mr. Henry Abbott,1
http://www.wikidata.org/entity/Q16136488,Michael Kennedy,2176,Mr. Michael Kennedy,1
http://www.wikidata.org/entity/Q1613980,Mervyn Taylor,1063,Mr. Mervyn Taylor,1
http://www.wikidata.org/entity/Q16151677,Jerry Cowley,1772,Dr. Jerry Cowley,1
http://www.wikidata.org/entity/Q16185464,Paddy McHugh,1823,Mr. Paddy McHugh,1
http://www.wikidata.org/entity/Q16186226,John V. Farrelly,381,Mr. John V. Farrelly,1
http://www.wikidata.org/entity/Q16190287,Micheál Clery,179,Mr. Micheál Clery,1
http://www.wikidata.org/entity/Q16190763,Bernard Maguire,681,Mr. Bernard John (Ben) Maguire,1
http://www.wikidata.org/entity/Q16190853,Mary Mooney,774,Ms. Mary Mooney,1
http://www.wikidata.org/entity/Q16192582,Myra Barry,31,Ms. Myra Barry,1
http://www.wikidata.org/entity/Q1635157,Noel Grealish,1801,Mr. Noel Grealish,1
http://www.wikidata.org/entity/Q1651724,Paddy Belton,49,Mr. Paddy Belton,1
http://www.wikidata.org/entity/Q1655204,Séamus Brennan,1158,Mr. Seamus Brennan (Deceased),1
http://www.wikidata.org/entity/Q1658165,William Murphy,804,Mr. William Murphy,1
http://www.wikidata.org/entity/Q1670096,Simon Coveney,1073,Mr. John Joseph Timoney,0
http://www.wikidata.org/entity/Q1670096,Simon Coveney,250,Mr. Simon Coveney,1
http://www.wikidata.org/entity/Q1671033,John M. Kelly,374,Mr. John (Jackie) Fahey,0
http://www.wikidata.org/entity/Q1671033,John M. Kelly,1016,Mr. John J. Ryan,0
http://www.wikidata.org/entity/Q1672642,Michael Ahern,9,Mr. Michael Ahern,1
http://www.wikidata.org/entity/Q1676974,Jack Belton,46,Mr. Jack Belton,1
http://www.wikidata.org/entity/Q1680138,James Carroll,162,Mr. James Carroll,1
http://www.wikidata.org/entity/Q1680449,Jim Gibbons,456,Mr. James Gibbons,1
http://www.wikidata.org/entity/Q1680465,Michael Lowry,645,Mr. Michael Lowry,1
http://www.wikidata.org/entity/Q1681029,James Reilly,2180,Dr. James Reilly,1
http://www.wikidata.org/entity/Q1681217,James Tully,1079,Mr. James Tully,1
http://www.wikidata.org/entity/Q1684747,Martin O'Sullivan,960,Mr. Martin O'Sullivan,1
http://www.wikidata.org/entity/Q1687809,Jerry Cronin,261,Mr. Jeremiah Cronin,1
http://www.wikidata.org/entity/Q1689151,Jim McDaid,712,Dr. James McDaid,1
http://www.wikidata.org/entity/Q1689168,Jim Mitchell,763,Mr. Jim Mitchell,1
http://www.wikidata.org/entity/Q1689234,Jim Tunney,1082,Mr. Jim Tunney,1
http://www.wikidata.org/entity/Q1691642,Joe Walsh,1097,Mr. Joe Walsh,1
http://www.wikidata.org/entity/Q1699359,John Boland,64,Mr. John Boland,1
http://www.wikidata.org/entity/Q1699564,John Carty,1769,Mr. John Carty,1
http://www.wikidata.org/entity/Q1700253,John Gormley,472,Mr. John Gormley,1
http://www.wikidata.org/entity/Q1700553,Seán Mac Eoin,666,Mr. Seán (Major-General) Mac Eoin,1
http://www.wikidata.org/entity/Q1701283,John M. O'Sullivan,959,Mr. John Marcus O'Sullivan,1
http://www.wikidata.org/entity/Q1701309,John P. Wilson,1109,Mr. John P. Wilson,1
http://www.wikidata.org/entity/Q1701797,John Stafford,1050,Mr. John Stafford,1
http://www.wikidata.org/entity/Q1706630,Joseph Blowick,60,Mr. Joseph Blowick,1
http://www.wikidata.org/entity/Q1706677,Joseph Brennan,89,Mr. Joseph Brennan,1
http://www.wikidata.org/entity/Q1724125,Tom Sheahan,2195,Mr. Tom Sheahan,1
http://www.wikidata.org/entity/Q1727081,Neil Blaney,59,Mr. Neil T. Blaney,1
http://www.wikidata.org/entity/Q1728820,Leo Varadkar,2192,Dr. Leo Varadkar,1
http://www.wikidata.org/entity/Q173347,Éamon de Valera,301,Mr. Eamon de Valera,1
http://www.wikidata.org/entity/Q1738824,Terence Flanagan,2182,Mr. Terence Flanagan,1
http://www.wikidata.org/entity/Q1740089,Kevin Boland,65,Mr. Kevin Boland,1
http://www.wikidata.org/entity/Q1749120,Sylvester Barrett,28,Mr. Sylvester Barrett,1
http://www.wikidata.org/entity/Q175181,James O'Keeffe,1596,Mr. James Joseph O'Keeffe,1
http://www.wikidata.org/entity/Q176817,Máire Geoghegan-Quinn,454,Mrs. Máire Geoghegan-Quinn,1
